;tauf;tab;t0;vauf;vab;Vauf;Vab;Vab-Vauf;v0;2v0
1;1.88;1.51;92.45;0.265957447;0.331125828;0.188968942;0.234888444;0.045919502;0.005408329;0.010816658
;5.67;1.82;;0.088183422;0.274725275;;;;;
;2.35;5.06;;0.212765957;0.098814229;;;;;
2;4.99;5.17;105.44;0.100200401;0.096711799;0.10280794;0.120558906;0.017750966;0.004742033;0.009484067
;5.06;4.62;;0.098814229;0.108225108;;;;;
;4.57;3.19;;0.10940919;0.156739812;;;;;
3;4.98;4.93;;0.100401606;0.101419878;0.097789067;0.112535087;0.01474602;0;0
;5.79;4.40;;0.086355786;0.113636364;;;;;
;4.69;4.08;;0.106609808;0.12254902;;;;;
4;8.85;4.55;21.89;0.056497175;0.10989011;0.058790255;0.104174854;0.045384599;0.02284148;0.04568296
;8.19;4.94;;0.061050061;0.101214575;;;;;
;8.50;4.93;;0.058823529;0.101419878;;;;;
5;5.47;4.88;;0.091407678;0.102459016;0.089411491;0.099033563;0.009622073;0;0
;5.90;5.25;;0.084745763;0.095238095;;;;;
;5.43;5.03;;0.092081031;0.099403579;;;;;
6;11.88;7.72;48.65;0.042087542;0.064766839;0.046619338;0.06267248;0.016053142;0.010277492;0.020554985
;10.59;8.43;;0.047214353;0.059311981;;;;;
;9.89;7.82;;0.050556117;0.063938619;;;;;
